X(WGS84),Y(WGS84)
120.40359,23.70361
120.38845,23.6992
120.41649,23.70878
120.39428,23.71169
120.38938,23.71828
120.38421,23.71812
120.38912,23.70983
120.37876,23.69755
120.41768,23.69721
120.41902,23.695
120.41682,23.68592
120.41773,23.68665
120.40447,23.68541
120.40868,23.67781
120.40848,23.67539
120.40782,23.67299
120.40741,23.69306
120.40009,23.69198
120.40175,23.69407
120.3989,23.69419
120.40775,23.70225
120.41035,23.70419
120.41691,23.70319
120.41753,23.70656
120.47421,23.72943
120.47565,23.7294
120.4392,23.72757
120.44198,23.73235
120.44733,23.73363
120.43852,23.73344
120.43631,23.73338
120.41554,23.71609
120.41624,23.71571
120.40948,23.71999
120.40935,23.71992
120.40734,23.71543
120.41449,23.71909
120.40917,23.72123
120.40333,23.72119
120.46664,23.74275
120.46896,23.74266
120.4752,23.74048
120.47317,23.7405
120.4743,23.74054
120.47399,23.74048
120.47315,23.73839
120.46799,23.7411
120.46812,23.7407
120.46699,23.74091
120.44741,23.73502
120.44987,23.73694
120.46784,23.73709
120.47242,23.72498
120.3995,23.68985
120.47466,23.73157
120.47394,23.72389
120.49527,23.72442
120.43742,23.69274
120.43534,23.69077
120.44303,23.6932
120.44239,23.69452
120.43933,23.69405
120.43752,23.69688
120.47201,23.70807
120.47077,23.7076
120.47214,23.71113
120.47289,23.71139
120.48039,23.71927
120.47684,23.72153
120.40401,23.73166
120.40423,23.73171
120.41806,23.72139
120.41022,23.72084
120.40655,23.71667
120.40532,23.72102
120.40598,23.72105
120.40878,23.72361
120.40738,23.72114
120.40906,23.70787
120.39979,23.70406
120.41132,23.70905
120.39089,23.71177
120.38405,23.71486
120.39461,23.70638
120.39304,23.70818
120.38003,23.6974
120.3805,23.69955
